GENE,aver.sec4.bs,aver.sec4.me,aver.sec9.bs,aver.sec9.me,aver.sec14.bs,aver.sec14.me,sder.sec4.bs,sder.sec4.me,sder.sec9.bs,sder.sec9.me,sder.sec14.bs,sder.sec14.me
GRMZM2G097728,0.526423399,0.601479565,0.529122803,0.561859158,0.634293008,0.884980565,0.128413503,0.03954605,0.097093021,0.058865176,0.119944267,0.123352705
GRMZM2G097736,0.16827507,0.135129309,0.191143046,0.11870749,0.194063652,0.13797584,0.006103109,0.016791366,0.003509842,0.006591929,0.01803083,0.01272662
GRMZM2G097738,0.111757765,0.027190333,0.06899784,0.015906818,0.013031766,0.004573647,0.042106019,0.027190333,0.0205807,0.00624887,0.002862274,0.001240307
GRMZM2G097739,1.395509643,2.340881398,0.041785588,0.279599756,0.0269615,0.064069767,0.186579909,0.042804475,0.002679443,0.010138678,0.013716467,0.005930233
GRMZM2G097746,0.321768352,0.383637361,0.156037935,0.358462127,0.273264831,0.438410798,0.003360441,0.069534822,0.005042127,0.063693532,0.043684301,0.015077528
GRMZM2G097747,0.014331606,0,0.005586592,0.002994012,0.013245033,0.020813953,0.000593768,0,0.005586592,0.002994012,0.013245033,0.009186047
GRMZM2G097750,0.003736454,0.015076427,0.001767663,0.001991317,0.002637068,0.000954546,0.001238665,0.007825671,0.001211851,0.000893822,0.00022888,0.000954546
GRMZM2G097768,2.285000427,1.612842807,1.710145411,2.053874158,1.707660807,1.780581395,0.073208528,0.108311039,0.218525299,0.191598709,0.146643829,0.129418605
GRMZM2G097775,0.296172983,0.43453696,0.228267538,0.218102027,0.258031207,0.325872093,0.069498658,0.136460037,0.077429549,0.04145532,0.006375578,0.099127907
GRMZM2G097789,0,0,0.00272674,0.000272183,0.033962176,0.007949792,0,0,0.001526689,0.000272183,0.00188352,0.002444151
GRMZM2G097802,0.626096794,1.540727422,0.133452019,1.428276254,0.051442362,0.652209302,0.090321117,0.036195655,0.11110565,0.104922961,0.04127287,0.022209302
GRMZM2G097804,0.15870705,0.425749485,0.593008097,1.497524077,0.030037041,0.005,0.054229438,0.118057178,0.174013684,0.132254616,0.009698058,0.005
GRMZM2G097805,0.229008804,0.375508371,0.079416811,0.086970928,0.048602537,0.108953488,0.002334479,0.076414706,0.004382072,0.050753623,0.002244921,0.018953488
GRMZM2G097812,1.489975519,1.208568167,1.168648981,0.773333624,0.965155751,0.341104651,0.12181631,0.084701064,0.124647109,0.071736816,0.111003189,0.003895349
GRMZM2G097820,0.539385247,0.801141656,0.557157777,0.591130621,0.57826917,0.594244186,0.016997187,0.112319883,0.029224816,0.112088704,0.110472551,0.140755814
GRMZM2G097821,1.23760569,1.22397167,1.47388224,1.346257192,1.759860832,1.900697674,0.001200281,0.262433209,0.000978096,0.108832628,0.09098666,0.180697674
GRMZM2G097827,0.158410166,0.014147107,0.110114605,0.003018109,0.051913796,0.0125,0.06139524,0.005083662,0.023963608,0.003018109,0.001066337,0.0125
GRMZM2G097841,0.25244271,0.415412688,0.054341186,0.107208118,0.406504656,0.520794566,0.021189111,0.046822957,0.004318032,0.001574313,0.116674152,0.002461236
GRMZM2G097843,0.067474584,0.062630717,0.052887611,0.077023012,0.007292249,0.044069767,0.017102521,0.014292359,0.019368058,0.03275742,0.002877243,0.014069767
